Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	25	0	1.0	0.0728862973760933	0.0	0.0728862973760933
2004	18	0	1.0	0.05278592375366569	0.0	0.05278592375366569
2005	20	0	1.0	0.05305039787798409	0.0	0.05305039787798409
2006	19	0	1.0	0.05026455026455026	0.0	0.05026455026455026
2007	10	0	1.0	0.0273224043715847	0.0	0.0273224043715847
2008	11	0	1.0	0.02806122448979592	0.0	0.02806122448979592
2009	5	0	1.0	0.01282051282051282	0.0	0.01282051282051282
2010	5	0	1.0	0.014044943820224719	0.0	0.014044943820224719
2011	17	0	1.0	0.040865384615384616	0.0	0.040865384615384616
2012	16	0	1.0	0.037122969837587005	0.0	0.037122969837587005
